file,bytes,words,sha256_16,title,series_bucket,task_domain,disposition,proposed_destination,risk,notes
book3-pass15-bounded-cron-expansion-sync.md,3591,436,43762ab795d158ac,Book 3 Pass 1.5 bounded cron expansion + dashboard sync,cross-series/general,controlled-fiction-drafting-and-autonomous-runs,generalize-into-draft-task-skill-or-linked-reference,staged draft skills / novel-production-system references,normal,
book3-pass15-final-emotional-breath-insert.md,2108,311,4941cb0b0dfadb29,Book 3 Pass 1.5 Final Emotional-Breath Insert Pattern,cross-series/general,controlled-fiction-revision-and-expansion,generalize-into-draft-task-skill-or-linked-reference,staged draft skills / novel-production-system references,normal,
book3-pass15-settlement-implementation-insert.md,3766,544,941a442eb58848d5,Book 3 Pass 1.5 — Settlement Implementation Insert Pattern,cross-series/general,controlled-fiction-revision-and-expansion,generalize-into-draft-task-skill-or-linked-reference,staged draft skills / novel-production-system references,normal,
book3-pass16-external-editorial-validation.md,2707,385,1efb84129f0bd767,Book 3 Pass 1.6 External Editorial Validation Pattern,cross-series/general,fiction-editorial-audits-and-revision-planning,generalize-into-draft-task-skill-or-linked-reference,staged draft skills / novel-production-system references,normal,
brambleford-book2-grounded-editorial-pass.md,3472,454,9d70f4146e020081,Brambleford Book 2 grounded editorial pass pattern,brambleford,fiction-editorial-audits-and-revision-planning,copy-to-canonical-series-repo-before-global-slim,/home/andrew/projects/active/brambleford-cozy-mystery/docs/skill-reference-migration/,normal,
brambleford-book4-skeleton-to-pass2-expansion.md,3703,548,5aed693941b30b5c,Brambleford Book 4 Skeleton-to-Pass-2 Expansion Pattern,brambleford,controlled-fiction-revision-and-expansion,copy-to-canonical-series-repo-before-global-slim,/home/andrew/projects/active/brambleford-cozy-mystery/docs/skill-reference-migration/,normal,
brambleford-briarcombe-name-confusion-lesson.md,5278,767,93530970b417b423,Brambleford vs Briarcombe Name Confusion — Session-Derived Lesson,brambleford,manual-review,copy-to-canonical-series-repo-before-global-slim,/home/andrew/projects/active/brambleford-cozy-mystery/docs/skill-reference-migration/,normal,
brambleford-session-lessons.md,4570,668,f393df03ac6e4123,Brambleford Session Lessons — Scout Fork and Reader Reviews,brambleford,manual-review,copy-to-canonical-series-repo-before-global-slim,/home/andrew/projects/active/brambleford-cozy-mystery/docs/skill-reference-migration/,normal,
branch-manuscript-assembly-pattern.md,4680,649,f7abefd858717410,Assembling a Manuscript from Scattered Branch Files,cross-series/general,fiction-project-governance-and-handoffs,generalize-into-draft-task-skill-or-linked-reference,staged draft skills / novel-production-system references,normal,
briarcombe-gamma-multi-agent-collapse-audit.md,4526,726,4b0519fb584bff57,Briarcombe Gamma Multi-Agent Collapse Audit,brambleford,fiction-editorial-audits-and-revision-planning,copy-to-canonical-series-repo-before-global-slim,/home/andrew/projects/active/brambleford-cozy-mystery/docs/skill-reference-migration/,normal,
chapter-brief-after-architecture-approval.md,3336,496,3bcaed3a374df073,Chapter Brief After Architecture Approval,cross-series/general,fiction-architecture-briefing-and-research-gates,generalize-into-draft-task-skill-or-linked-reference,staged draft skills / novel-production-system references,normal,
chapter-expansion-by-incremental-insertion.md,2428,362,4703847471136f51,Chapter Expansion by Incremental Insertion,cross-series/general,controlled-fiction-drafting-and-autonomous-runs,generalize-into-draft-task-skill-or-linked-reference,staged draft skills / novel-production-system references,normal,
chapter-renumbering-after-insertion.md,3682,573,3ce01088b2210607,Chapter Renumbering After New Chapter Insertion,cross-series/general,controlled-fiction-drafting-and-autonomous-runs,generalize-into-draft-task-skill-or-linked-reference,staged draft skills / novel-production-system references,normal,
christie-novel-word-count-reference.md,1885,345,6926f0621726fe69,Christie Novel Word Count Reference,brambleford,manual-review,copy-to-canonical-series-repo-before-global-slim,/home/andrew/projects/active/brambleford-cozy-mystery/docs/skill-reference-migration/,normal,
codebase-memory-mcp-fiction-continuity.md,3064,414,1099f8dea4f96957,Codebase Memory MCP for fiction continuity and repo navigation,cross-series/general,fiction-project-governance-and-handoffs,manual-review-before-live-skill-install,staged draft skills / novel-production-system references,manual-review/high-impact,runtime/profile/config-sensitive — keep out of drafting skill; review manually before reuse
codebase-memory-mcp-for-fiction-projects.md,2190,265,ee4418898fcbec92,Codebase Memory MCP for fiction project work,cross-series/general,fiction-project-governance-and-handoffs,manual-review-before-live-skill-install,staged draft skills / novel-production-system references,manual-review/high-impact,runtime/profile/config-sensitive — keep out of drafting skill; review manually before reuse
commercial-viability-cozy-mystery-checklist.md,7049,1058,cbfb5f4f22862384,Commercial Viability Checklist for Cozy Mysteries,brambleford,manual-review,copy-to-canonical-series-repo-before-global-slim,/home/andrew/projects/active/brambleford-cozy-mystery/docs/skill-reference-migration/,normal,
competitive-multi-novelist-pattern.md,1539,202,d732e5b51ec6e4c8,Competitive Multi-Novelist Pattern,cross-series/general,manual-review,manual-review-before-disposition,staged draft skills / novel-production-system references,normal,
context-threshold-fiction-handoff.md,1850,274,1f1011a23e803f64,Context-threshold handoff for fiction sessions,cross-series/general,fiction-project-governance-and-handoffs,generalize-into-draft-task-skill-or-linked-reference,staged draft skills / novel-production-system references,normal,
continuity-preservation-audit-before-next-gate.md,6580,860,61f414b40a75a901,Continuity Preservation Audit Before Next Gate,cross-series/general,fiction-project-governance-and-handoffs,generalize-into-draft-task-skill-or-linked-reference,staged draft skills / novel-production-system references,normal,
controlled-blind-evaluation-sequence.md,4916,687,96ddd22b3a3adecb,Controlled Blind Evaluation Sequence for Multi-Model Fiction Experiments,cross-series/general,controlled-model-evaluation-for-creative-work,generalize-into-draft-task-skill-or-linked-reference,staged draft skills / novel-production-system references,normal,
controlled-chapter-drafting-after-approved-brief.md,4553,638,1fd106d1ce23b450,Controlled Chapter Drafting After Approved Brief,cross-series/general,fiction-architecture-briefing-and-research-gates,generalize-into-draft-task-skill-or-linked-reference,staged draft skills / novel-production-system references,normal,
controlled-experiment-candidate-canonical-promotion.md,3511,488,d8ded00a94f93ad1,Controlled Experiment Candidate Canonical Promotion,cross-series/general,controlled-model-evaluation-for-creative-work,generalize-into-draft-task-skill-or-linked-reference,staged draft skills / novel-production-system references,normal,
controlled-final-assembly-renumbering-pass.md,4628,680,f4244ff7c0d39d3d,Controlled Final Assembly / Renumbering Pass,cross-series/general,fiction-assembly-final-qa-and-freeze,generalize-into-draft-task-skill-or-linked-reference,staged draft skills / novel-production-system references,normal,
controlled-multi-model-chapter1-experiment.md,5503,738,ded6c128efcaefac,Controlled Multi-Model Chapter 1 Experiment,cross-series/general,controlled-model-evaluation-for-creative-work,generalize-into-draft-task-skill-or-linked-reference,staged draft skills / novel-production-system references,normal,
controlled-pass1-revision-from-review-package.md,3606,523,fd33e515ca760fd5,Controlled Pass 1 Revision from an Editorial Review Package,cross-series/general,fiction-editorial-audits-and-revision-planning,generalize-into-draft-task-skill-or-linked-reference,staged draft skills / novel-production-system references,normal,
controlled-pass2-expansion-and-checkpoint.md,2698,400,708359c198634af7,Controlled Pass 2 Expansion + Checkpoint Pattern,cross-series/general,controlled-fiction-revision-and-expansion,generalize-into-draft-task-skill-or-linked-reference,staged draft skills / novel-production-system references,normal,
cosmic-horror-antagonist-voice.md,2826,419,c8945b04935d87c6,Cosmic Horror Antagonist Voice — Case Study: The Wet,last-clean-up-crew,fiction-editorial-audits-and-revision-planning,copy-to-canonical-series-repo-before-global-slim,/home/andrew/projects/active/last-clean-up-crew/docs/skill-reference-migration/,normal,
cron-tracker-ahead-sequential-drafting.md,1448,222,f9ce7956d1f46f99,Cron tracker-ahead sequential drafting pattern,cross-series/general,controlled-fiction-drafting-and-autonomous-runs,generalize-into-draft-task-skill-or-linked-reference,staged draft skills / novel-production-system references,normal,
cross-session-github-handoff-repo.md,3177,434,99cb816c49d24814,Cross-session GitHub handoff repo pattern,cross-series/general,fiction-project-governance-and-handoffs,generalize-into-draft-task-skill-or-linked-reference,staged draft skills / novel-production-system references,normal,
curator-of-series-memory-pattern.md,5038,668,1215a057809fc2ce,Curator of Series Memory — Building Series Ecosystems,cross-series/general,fiction-project-governance-and-handoffs,generalize-into-draft-task-skill-or-linked-reference,staged draft skills / novel-production-system references,normal,
current-dashboard-pattern.md,3021,386,0267c2b2f5c8df10,Current Dashboard Pattern,cross-series/general,reader-package-and-feedback-workflow,generalize-into-draft-task-skill-or-linked-reference,staged draft skills / novel-production-system references,normal,
deploy-scout-versions-reader-site.md,4469,601,f1e66cf99250165b,Deploying Scout Alternative Versions as Reader Sites,cross-series/general,reader-package-and-feedback-workflow,manual-review-before-live-skill-install,staged draft skills / novel-production-system references,manual-review/high-impact,deployment/server-coupled — route to reader package + deployment skill with explicit approval
dialogue-desert-detection-and-dramatization-audit.md,9744,1427,155c84ca71eec591,Dialogue Desert Detection and Dramatization Audit,cross-series/general,fiction-editorial-audits-and-revision-planning,generalize-into-draft-task-skill-or-linked-reference,staged draft skills / novel-production-system references,normal,
direct-writer-editor-repo-handoff.md,2848,407,255a680ec3abd279,Direct writer → editor repo handoff,cross-series/general,fiction-project-governance-and-handoffs,generalize-into-draft-task-skill-or-linked-reference,staged draft skills / novel-production-system references,normal,
dramatization-pass-confrontation-over-monologue.md,4813,695,7b3e067166a644f8,Dramatization Pass: Confrontation Over Monologue,cross-series/general,controlled-fiction-revision-and-expansion,generalize-into-draft-task-skill-or-linked-reference,staged draft skills / novel-production-system references,normal,
durable-cron-continuation-after-initial-chapters.md,3994,576,845a2bd5dfda0ffa,Durable Cron Continuation After Initial Fiction Chapters,cross-series/general,controlled-fiction-drafting-and-autonomous-runs,generalize-into-draft-task-skill-or-linked-reference,staged draft skills / novel-production-system references,normal,
editor-pass-separation-pattern.md,3183,483,bf85044c836ff69e,Editor Pass Separation Pattern,cross-series/general,manual-review,manual-review-before-disposition,staged draft skills / novel-production-system references,normal,
editorial-feedback-lifecycle-status-update.md,2825,409,9bbdc322b80947a6,Editorial Feedback as Lifecycle Status Update,cross-series/general,reader-package-and-feedback-workflow,generalize-into-draft-task-skill-or-linked-reference,staged draft skills / novel-production-system references,normal,
editorial-persona-simulation.md,4931,713,c395b439d95bd9b0,Editorial Persona Simulation — Session-Derived Technique,cross-series/general,fiction-editorial-audits-and-revision-planning,generalize-into-draft-task-skill-or-linked-reference,staged draft skills / novel-production-system references,normal,
editorial-reader-model-testing.md,3269,445,8b85db6ee7f9a60f,Editorial Reader Model Testing — Session Findings,cross-series/general,controlled-model-evaluation-for-creative-work,generalize-into-draft-task-skill-or-linked-reference,staged draft skills / novel-production-system references,normal,
elias-burning-bird-book2-accountable-custody-cron.md,4067,554,9d12d50b51ed6400,Elias / Burning Bird Book 2 — Accountable Custody Cron Pattern,meridian-relics,controlled-fiction-drafting-and-autonomous-runs,copy-to-canonical-series-repo-before-global-slim,/home/andrew/projects/active/meridian-relics/docs/skill-reference-migration/,normal,
elias-burning-bird-book2-archive-witness-intake-cron.md,2862,387,d11d2ae3840ab16e,Elias / Burning Bird Book 2 — Archive witness-intake cron pattern,meridian-relics,controlled-fiction-drafting-and-autonomous-runs,copy-to-canonical-series-repo-before-global-slim,/home/andrew/projects/active/meridian-relics/docs/skill-reference-migration/,normal,
elias-burning-bird-book2-bird-refusal-cron.md,3730,537,f744aa6633b54309,Elias Burning Bird Book 2 — Bird Refusal / False-Rescue Failure Cron Pattern,meridian-relics,controlled-fiction-drafting-and-autonomous-runs,copy-to-canonical-series-repo-before-global-slim,/home/andrew/projects/active/meridian-relics/docs/skill-reference-migration/,normal,
elias-burning-bird-book2-continuation-cron.md,5355,721,9c14da3d5245edc5,Elias Silver / Meridian Relics Book 2 continuation cron pattern,meridian-relics,controlled-fiction-drafting-and-autonomous-runs,copy-to-canonical-series-repo-before-global-slim,/home/andrew/projects/active/meridian-relics/docs/skill-reference-migration/,normal,
elias-burning-bird-book2-controlled-burn-cron.md,3595,502,b918a669e3c997ab,Elias Silver / Burning Bird Book 2 — Chapter 18 controlled-burn cron pattern,meridian-relics,controlled-fiction-drafting-and-autonomous-runs,copy-to-canonical-series-repo-before-global-slim,/home/andrew/projects/active/meridian-relics/docs/skill-reference-migration/,normal,
elias-burning-bird-book2-distributed-witness-coalition-cron.md,3617,532,f74bf51a12af0fae,Elias Silver / Burning Bird Book 2 distributed-witness coalition cron pattern,meridian-relics,controlled-fiction-drafting-and-autonomous-runs,copy-to-canonical-series-repo-before-global-slim,/home/andrew/projects/active/meridian-relics/docs/skill-reference-migration/,normal,
elias-burning-bird-book2-evidence-network-cron.md,2718,352,51ebf8b6c1dc73b7,Elias / The Burning Bird Book 2 — Evidence-Network Cron Run Pattern,meridian-relics,fiction-architecture-briefing-and-research-gates,copy-to-canonical-series-repo-before-global-slim,/home/andrew/projects/active/meridian-relics/docs/skill-reference-migration/,normal,
elias-burning-bird-book2-ferry-condition-cron.md,3469,463,d75e8633ded10324,Elias / Burning Bird Book 2 — Ferry Condition Cron Pattern,meridian-relics,controlled-fiction-drafting-and-autonomous-runs,copy-to-canonical-series-repo-before-global-slim,/home/andrew/projects/active/meridian-relics/docs/skill-reference-migration/,normal,
elias-burning-bird-book2-first-chapter-cron.md,4332,594,5c9a0221029357d6,Elias / Burning Bird Book 2 first-chapter scheduled run pattern,meridian-relics,controlled-fiction-drafting-and-autonomous-runs,copy-to-canonical-series-repo-before-global-slim,/home/andrew/projects/active/meridian-relics/docs/skill-reference-migration/,normal,
elias-burning-bird-book2-harbour-order-cron.md,3187,430,1bec5e5467f73a84,Elias / Burning Bird Book 2 — Harbour Order Cron Pattern,meridian-relics,controlled-fiction-drafting-and-autonomous-runs,copy-to-canonical-series-repo-before-global-slim,/home/andrew/projects/active/meridian-relics/docs/skill-reference-migration/,normal,
elias-burning-bird-book2-helpful-fire-cron.md,3215,416,154abcc1fe57cb49,Elias / Burning Bird Book 2 — Chapter 15 Helpful Fire Cron Pattern,meridian-relics,controlled-fiction-drafting-and-autonomous-runs,copy-to-canonical-series-repo-before-global-slim,/home/andrew/projects/active/meridian-relics/docs/skill-reference-migration/,normal,
elias-burning-bird-book2-name-aftermath-cron.md,3334,450,23f4c07a8dac4482,Elias Silver / Meridian Relics Book 2 name-aftermath cron pattern,meridian-relics,controlled-fiction-drafting-and-autonomous-runs,copy-to-canonical-series-repo-before-global-slim,/home/andrew/projects/active/meridian-relics/docs/skill-reference-migration/,normal,
elias-burning-bird-book2-rook-as-evidence-cron.md,2772,382,96440ebdcbc36408,Elias / Burning Bird Book 2 — Rook as Evidence Cron Pattern,meridian-relics,fiction-architecture-briefing-and-research-gates,copy-to-canonical-series-repo-before-global-slim,/home/andrew/projects/active/meridian-relics/docs/skill-reference-migration/,normal,
elias-burning-bird-book2-signature-trap-cron.md,4320,619,6db9f6a733641daa,Elias Burning Bird Book 2 — Signature Trap Cron Pattern,meridian-relics,controlled-fiction-drafting-and-autonomous-runs,copy-to-canonical-series-repo-before-global-slim,/home/andrew/projects/active/meridian-relics/docs/skill-reference-migration/,normal,
elias-burning-bird-book2-voss-introduction-cron.md,2832,403,47d45b79ec21a1a9,Elias / Burning Bird Book 2 — Voss Introduction Cron Pattern,meridian-relics,controlled-fiction-drafting-and-autonomous-runs,copy-to-canonical-series-repo-before-global-slim,/home/andrew/projects/active/meridian-relics/docs/skill-reference-migration/,normal,
elias-burning-bird-book2-what-rescue-costs-cron.md,4129,585,13e15f43def6dc58,Elias Silver / Burning Bird Book 2 Chapter 12 cron pattern — What Rescue Costs,meridian-relics,controlled-fiction-drafting-and-autonomous-runs,copy-to-canonical-series-repo-before-global-slim,/home/andrew/projects/active/meridian-relics/docs/skill-reference-migration/,normal,
elias-library-access-and-feedback-correction.md,1353,196,0e363f3ea2601069,Elias Silver Library access model and feedback-form correction,elias-library,reader-package-and-feedback-workflow,copy-to-series-or-adjacent-domain-reference-before-global-slim,/home/andrew/projects/active/elias-silver-library/docs/skill-reference-migration/,normal,
elias-library-act1-escalation-and-meta-slip-guardrails.md,3827,567,a215248973a4f0b7,Elias Silver Library — Act I Escalation and Meta-Slip Guardrails,elias-library,manual-review,copy-to-canonical-series-repo-before-global-slim,/home/andrew/projects/active/elias-silver-library/docs/skill-reference-migration/,normal,
elias-library-blue-door-controlled-reveal.md,3606,507,7e664d02496887a6,Elias Library — Blue-Door Controlled Reveal Pattern,meridian-relics,manual-review,copy-to-canonical-series-repo-before-global-slim,/home/andrew/projects/active/meridian-relics/docs/skill-reference-migration/,normal,
elias-library-commercial-genre-strategy.md,6224,857,f9e7e43f8e98d100,Elias Silver Library — Commercial Genre Strategy and Novel Architecture Lessons,elias-library,fiction-architecture-briefing-and-research-gates,copy-to-canonical-series-repo-before-global-slim,/home/andrew/projects/active/elias-silver-library/docs/skill-reference-migration/,normal,
elias-library-first-draft-commercial-expansion-review.md,4076,601,b03a0bf4069eb08c,Elias Library first-draft commercial expansion review,elias-library,controlled-fiction-drafting-and-autonomous-runs,copy-to-canonical-series-repo-before-global-slim,/home/andrew/projects/active/elias-silver-library/docs/skill-reference-migration/,normal,
elias-library-first-draft-completion-ending-check.md,2959,403,34861837cebd8a0c,Elias Silver Library first-draft completion + ending-read pattern,elias-library,controlled-fiction-drafting-and-autonomous-runs,copy-to-canonical-series-repo-before-global-slim,/home/andrew/projects/active/elias-silver-library/docs/skill-reference-migration/,normal,
