file,bytes,words,task_bucket,series_bucket
"repo-local-worker-handoff-and-assembly-validation.md",3545,479,"autonomous-workers-models","cross-series/general"
"repo-local-writer-handoff-and-editorial-gates.md",4783,663,"repo-governance-handoff-memory","cross-series/general"
"research-only-mythology-dossier-before-architecture.md",4111,581,"research-ingest-market","cross-series/general"
"self-publishing-platform-alternatives.md",3661,585,"research-ingest-market","cross-series/general"
"sequential-chapter-drafting-handoff-pattern.md",2367,371,"repo-governance-handoff-memory","cross-series/general"
"sequential-novel-drafting-milestones.md",2343,363,"drafting-briefs","cross-series/general"
"series-level-soul-and-length-standard-pattern.md",24070,3246,"pipeline-architecture-soul","cross-series/general"
"series-location-expansion-strategy-pattern.md",3131,445,"revision-expansion-polish","cross-series/general"
"session-opening-stale-status-pitfall.md",2549,378,"drafting-briefs","cross-series/general"
"shelved-model-experiment-gate-before-prose.md",2983,443,"autonomous-workers-models","cross-series/general"
"short-story-collection-drafting-roadmap.md",4532,636,"drafting-briefs","Stories/Shorts"
"short-story-cron-single-story-run.md",3096,443,"autonomous-workers-models","Stories/Shorts"
"short-story-pass1-review-polish.md",2957,426,"revision-expansion-polish","Stories/Shorts"
"short-story-pass1-stale-completion-and-dashboard-sync.md",2981,401,"reader-site-web-packaging","Stories/Shorts"
"simplified-reader-site-feedback-forms.md",1956,274,"reader-site-web-packaging","cross-series/general"
"single-agent-draft-shortfall-case-study.md",1061,154,"drafting-briefs","cross-series/general"
"single-page-multi-book-reader-site.md",5623,799,"reader-site-web-packaging","cross-series/general"
"solo-writer-thin-draft-failure-mode.md",3615,565,"drafting-briefs","cross-series/general"
"special-controlled-chapter-brief-after-audit.md",3448,484,"drafting-briefs","cross-series/general"
"staged-autonomous-pilot-after-map-tracker.md",3794,540,"autonomous-workers-models","cross-series/general"
"steward-editorial-lens-and-working-writer-boundaries.md",3233,444,"reader-editorial-audit","cross-series/general"
"story-locked-targeted-polish-export-pattern.md",2412,341,"revision-expansion-polish","cross-series/general"
"storycraft-handbook-creation-pattern.md",5812,857,"pipeline-architecture-soul","cross-series/general"
"structural-errors-case-study.md",5976,947,"case-study-lessons","cross-series/general"
"structural-expansion-pass-from-editor-feedback.md",3095,445,"revision-expansion-polish","cross-series/general"
"structural-reader-audit-and-readiness-report.md",4151,659,"repo-governance-handoff-memory","cross-series/general"
"sunken-bell-pass1-ch18-19-stop-on-fallback-resume.md",3269,435,"autonomous-workers-models","Meridian/Elias Relics"
"targeted-alpha-editorial-packaging.md",4878,677,"reader-editorial-audit","cross-series/general"
"targeted-developmental-deepening-pattern.md",8864,1320,"revision-expansion-polish","cross-series/general"
"targeted-developmental-revision-plan-synthesis.md",6016,770,"revision-expansion-polish","cross-series/general"
"thorough-project-artifact-search.md",7779,1144,"cross-series-core/misc","cross-series/general"
"three-pass-revision-pipeline.md",5468,846,"revision-expansion-polish","cross-series/general"
"token-efficient-fiction-profile-continuation.md",3296,481,"autonomous-workers-models","cross-series/general"
"token-management-for-fiction-sessions.md",7982,1034,"case-study-lessons","cross-series/general"
"tool-iteration-cap-fiction-expansion-checkpoint.md",2509,368,"revision-expansion-polish","cross-series/general"
"village-life-pass-artifact-recovery.md",4907,686,"cross-series-core/misc","Brambleford/Briarcombe/Cozy"
"working-fork-pattern-multi-agent-manuscripts.md",5888,835,"cross-series-core/misc","cross-series/general"
"write-file-truncation-pitfall.md",2746,400,"case-study-lessons","cross-series/general"
